mode,births,ctrl,worst_min_sp_m,margin_m,viol_frames,final_acc_m,track_err_m
hover,nominal,MPC,2.9999999639799,1.4999999639799,0,3.6020102012202e-08,1.65855561934777e-08
hover,nominal,CONS+ff,3,1.5,0,0,0
hover,s11,MPC,2.45687280276862,0.956872802768619,0,0.0211007129091769,0.0506786684279462
hover,s11,CONS+ff,1.66260310154859,0.162603101548594,0,0.794463696327751,0.508882167381909
hover,s11,CONS-noff,1.66260310154859,0.162603101548594,0,0.794463696327751,0.508882167381909
line,nominal,MPC,2.99160534884187,1.49160534884187,0,0.0216583236809296,0.218465445758864
line,nominal,CONS+ff,2.99999999999943,1.49999999999943,0,0.00454687886787042,0.0170998291038972
line,s11,MPC,2.45687280276862,0.956872802768619,0,0.021298466300231,0.288221818316375
line,s11,CONS+ff,1.65864814706866,0.158648147068665,0,0.605539936627713,0.569945147081523
line,s11,CONS-noff,1.67064401148677,0.170644011486766,0,0.537045437703776,0.885693610470957
